Statistical profiling result from isolate-withlog-v8.log, (16186 ticks, 30 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  12612   77.9%          /usr/local/lib/nodejs/bin/node
    513    3.2%          /usr/lib/x86_64-linux-gnu/libc.so.6
     36    0.2%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
      4    0.0%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
     96    0.6%    3.2%  LazyCompile: *resolve node:path:1091:10
     71    0.4%    2.4%  LazyCompile: *parse /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
     43    0.3%    1.4%  LazyCompile: *wrap /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:101:22
     33    0.2%    1.1%  LazyCompile: *next /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
     24    0.1%    0.8%  LazyCompile: *normalizeString node:path:66:25
     22    0.1%    0.7%  LazyCompile: *compile /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
     22    0.1%    0.7%  LazyCompile: *SourceNode_walk /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/source-map/lib/source-node.js:221:53
     21    0.1%    0.7%  LazyCompile: *step /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:31:18
     19    0.1%    0.6%  LazyCompile: *join node:path:1166:7
     17    0.1%    0.6%  LazyCompile: *anonymous /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:12:42
     17    0.1%    0.6%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
     15    0.1%    0.5%  LazyCompile: *SourceNode_add /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/source-map/lib/source-node.js:172:51
     14    0.1%    0.5%  RegExp: [ \t]+$
     14    0.1%    0.5%  LazyCompile: *readPackage node:internal/modules/cjs/loader:290:21
     14    0.1%    0.5%  LazyCompile: *next /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express/lib/router/index.js:176:16
     13    0.1%    0.4%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:167:47
     12    0.1%    0.4%  RegExp: ^(?:[^\x00]*?(?=(\{\{)))
     12    0.1%    0.4%  LazyCompile: *realpathSync node:fs:2412:22
     12    0.1%    0.4%  LazyCompile: *formatRaw node:internal/util/inspect:820:19
     11    0.1%    0.4%  LazyCompile: *basename node:path:1306:11
     11    0.1%    0.4%  LazyCompile: *Glob._process /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/glob/glob.js:295:36
     10    0.1%    0.3%  RegExp: [\u001B\u009B][[\]()#;?]*(?:(?:(?:(?:;[-a-zA-Z\d\/#&.:=?%@~_]+)*|[a-zA-Z\d]+(?:;[-a-zA-Z\d\/#&.:=?%@~_]*)*)?\u0007)|(?:(?:\d{1,4}(?:;\d{0,4})*)?[\dA-PR-TZcf-ntqry=><~]))
     10    0.1%    0.3%  RegExp: (?:\r\n?|\n).*
     10    0.1%    0.3%  LazyCompile: *fulfilled /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:21:27
