Statistical profiling result from isolate-debug-v8.log, (18918 ticks, 33 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  13588   71.8%          /usr/local/lib/nodejs/bin/node
    546    2.9%          /usr/lib/x86_64-linux-gnu/libc.so.6
     32    0.2%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
     13    0.1%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
    104    0.5%    2.2%  LazyCompile: *resolve node:path:1091:10
     80    0.4%    1.7%  LazyCompile: *parse /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
     39    0.2%    0.8%  LazyCompile: *wrap /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:101:22
     38    0.2%    0.8%  LazyCompile: *next /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
     34    0.2%    0.7%  LazyCompile: *normalizeString node:path:66:25
     28    0.1%    0.6%  LazyCompile: *join node:path:1166:7
     27    0.1%    0.6%  LazyCompile: *step /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:31:18
     25    0.1%    0.5%  LazyCompile: *readPackage node:internal/modules/cjs/loader:290:21
     25    0.1%    0.5%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:167:47
     21    0.1%    0.4%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
     15    0.1%    0.3%  LazyCompile: *SourceNode_walk /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/source-map/lib/source-node.js:221:53
     13    0.1%    0.3%  RegExp: [ \t]+$
     12    0.1%    0.3%  RegExp: [\u001B\u009B][[\]()#;?]*(?:(?:(?:(?:;[-a-zA-Z\d\/#&.:=?%@~_]+)*|[a-zA-Z\d]+(?:;[-a-zA-Z\d\/#&.:=?%@~_]*)*)?\u0007)|(?:(?:\d{1,4}(?:;\d{0,4})*)?[\dA-PR-TZcf-ntqry=><~]))
     12    0.1%    0.3%  LazyCompile: *next /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express/lib/router/index.js:176:16
     11    0.1%    0.2%  RegExp: \r?\n\s*?$
     11    0.1%    0.2%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
     11    0.1%    0.2%  LazyCompile: *Glob._process /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/glob/glob.js:295:36
     10    0.1%    0.2%  LazyCompile: *compile /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
     10    0.1%    0.2%  LazyCompile: *anonymous /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:12:42
     10    0.1%    0.2%  LazyCompile: *__generator /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:27:58
     10    0.1%    0.2%  LazyCompile: *WhitespaceControl.Program /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/whitespace-control.js:19:48
     10    0.1%    0.2%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/source-map/lib/source-node.js:174:29
      9    0.0%    0.2%  RegExp: (?:\r\n?|\n).*
      9    0.0%    0.2%  LazyCompile: *makeAbs /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/glob/common.js:199:18
      9    0.0%    0.2%  LazyCompile: *emit node:events:474:44
      9    0.0%    0.2%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:368:47
      9    0.0%    0.2%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:251:47
      8    0.0%    0.2%  RegExp: ^(?:[^\x00]*?(?=(\{\{)))
      8    0.0%    0.2%  LazyCompile: *realpathSync node:fs:2412:22
      8    0.0%    0.2%  LazyCompile: *dirname node:path:1275:10
      7    0.0%    0.1%  LazyCompile: *preparePath /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:63:21
      7    0.0%    0.1%  LazyCompile: *formatRaw node:internal/util/inspect:820:19
      7    0.0%    0.1%  LazyCompile: *castChunk /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:52:19
      6    0.0%    0.1%  LazyCompile: *extend /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/utils.js:28:16
      6    0.0%    0.1%  Function: ^compileFunction node:vm:308:25
      5    0.0%    0.1%  RegExp: \u001b\[\d\d?m
      5    0.0%    0.1%  LazyCompile: *template /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/runtime.js:52:18
      5    0.0%    0.1%  LazyCompile: *reduceToSingleString node:internal/util/inspect:1902:30
      5    0.0%    0.1%  LazyCompile: *parse /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/minimatch/minimatch.js:296:16
      5    0.0%    0.1%  LazyCompile: *normalize node:path:1127:12
      5    0.0%    0.1%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
      5    0.0%    0.1%  LazyCompile: *SourceNode_add /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/source-map/lib/source-node.js:172:51
      5    0.0%    0.1%  LazyCompile: *Glob._processReaddir2 /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/glob/glob.js:372:44
      5    0.0%    0.1%  LazyCompile: *ExpressHandlebars.getTemplate /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:162:56
      5    0.0%    0.1%  Function: ^Module._load node:internal/modules/cjs/loader:757:24
      4    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\/)
      4    0.0%    0.1%  RegExp: ^(?:([^\s!"#%-,\.\/;->@\[-\^`\{-~]+(?=([=~}\s\/.)|]))))
      4    0.0%    0.1%  LazyCompile: *wrapper /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/wrappy/wrappy.js:19:19
      4    0.0%    0.1%  LazyCompile: *toString node:buffer:783:46
      4    0.0%    0.1%  LazyCompile: *replaceStack /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:892:38
      4    0.0%    0.1%  LazyCompile: *opcode /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:347:26
      4    0.0%    0.1%  LazyCompile: *groupArrayElements node:internal/util/inspect:1338:28
      4    0.0%    0.1%  LazyCompile: *getPathFromURLPosix node:internal/url:1395:29
      4    0.0%    0.1%  LazyCompile: *getEncodingOps node:buffer:679:24
      4    0.0%    0.1%  LazyCompile: *fastparse /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/parseurl/index.js:95:20
      4    0.0%    0.1%  LazyCompile: *basename node:path:1306:11
