Statistical profiling result from fork-v8.log, (29721 ticks, 7 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   9354   31.5%          /usr/local/lib/nodejs/bin/node
    128    0.4%          /usr/lib/x86_64-linux-gnu/libc.so.6
      7    0.0%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
      2    0.0%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
  19642   66.1%   97.1%  LazyCompile: *<anonymous> file:///home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/routes/index.js:26:18
     15    0.1%    0.1%  LazyCompile: *next /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/index.js:176:16
      8    0.0%    0.0%  LazyCompile: *normalizeString node:path:66:25
      6    0.0%    0.0%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
      5    0.0%    0.0%  LazyCompile: *join node:path:1166:7
      4    0.0%    0.0%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      4    0.0%    0.0%  LazyCompile: *isPrime file:///home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/routes/index.js:8:17
      4    0.0%    0.0%  LazyCompile: *header /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/response.js:759:29
      4    0.0%    0.0%  LazyCompile: *_storeHeader node:_http_outgoing:374:22
      4    0.0%    0.0%  Function: ^_write node:internal/streams/writable:283:16
      3    0.0%    0.0%  RegExp: ^[!#$%&'*+\-.^_`|~0-9A-Za-z]+$
      3    0.0%    0.0%  LazyCompile: *normalize node:path:1127:12
      3    0.0%    0.0%  LazyCompile: *emit node:events:474:44
      3    0.0%    0.0%  LazyCompile: *_addListener node:events:554:22
      3    0.0%    0.0%  Function: ^endReadableNT node:internal/streams/readable:1338:23
      3    0.0%    0.0%  Function: ^emitReadable_ node:internal/streams/readable:574:23
      3    0.0%    0.0%  Function: ^emit node:events:474:44
      3    0.0%    0.0%  Function: ^compression /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/compression/index.js:59:31
      3    0.0%    0.0%  Function: ^_destroy node:internal/streams/destroy:70:18
      3    0.0%    0.0%  Function: ^_destroy node:_http_incoming:176:55
      3    0.0%    0.0%  Function: ^Readable.read node:internal/streams/readable:394:35
      3    0.0%    0.0%  Function: ^<anonymous> file:///home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/routes/index.js:26:18
      2    0.0%    0.0%  RegExp: ^text\/|^application\/(javascript|json)
      2    0.0%    0.0%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      2    0.0%    0.0%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      2    0.0%    0.0%  RegExp: ;\s*charset\s*=
      2    0.0%    0.0%  RegExp: ; *([!#$%&'*+.^_`|~0-9A-Za-z-]+) *= *("(?:[\u000b\u0020\u0021\u0023-\u005b\u005d-\u007e\u0080-\u00ff]|\\[\u000b\u0020-\u00ff])*"|[!#$%&'*+.^_`|~0-9A-Za-z-]+) *
      2    0.0%    0.0%  LazyCompile: *handle /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/layer.js:86:49
      2    0.0%    0.0%  LazyCompile: *getPathFromURLPosix node:internal/url:1395:29
      2    0.0%    0.0%  Function: ^write_ node:_http_outgoing:730:16
      2    0.0%    0.0%  Function: ^writeOrBuffer node:internal/streams/writable:365:23
      2    0.0%    0.0%  Function: ^writeHead node:_http_server:269:19
